timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
134025901,7E:8A:AE:D6:C8:CD,0,90.00,-71,-75,0 0 11 -14 11 -16 10 -15 8 -14 6 -13 6 -13 6 -10 5 -9 6 -9 7 -7 9 -7 9 -8 9 -8 11 -10 10 -11 9 -12 9 -13 8 -13 8 -13 7 -13 5 -11 5 -10 5 -8 5 -8 6 -6 7 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -12 2 -12 2 -11 4 -11 4 -10 5 -10 7 -9 8 -10 9 -10 8 -11 11 -11 10 -13 9 -14 9 -14 9 -14 7 -14 6 -13 5 -12 6 -11 6 -11 7 -11 9 -9 9 -9 10 -10 11 -11 13 -12,0 0 -11 14 -12 15 -10 13 -10 12 -7 11 -8 11 -6 9 -7 7 -9 8 -9 6 -13 8 -12 7 -13 9 -13 10 -12 11 -10 12 -11 14 -9 13 -7 13 -7 10 -7 10 -4 7 -5 4 -6 3 -7 2 -9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 8 -5 8 -5 9 -4 9 -7 8 -7 8 -9 7 -11 7 -10 9 -10 7 -8 11 -12 12 -10 13 -10 11 -9 13 -9 12 -8 11 -7 11 -8 9 -9 10 -11 10 -12 9 -12 8 -12 7 -13 12 -14 11
134070289,7E:8A:AE:D6:C8:CD,0,-34.04,-70,-73,0 0 -9 -14 -11 -16 -10 -15 -10 -13 -10 -11 -10 -11 -8 -10 -8 -10 -7 -10 -6 -10 -5 -11 -6 -11 -6 -12 -7 -13 -7 -13 -8 -13 -10 -13 -10 -13 -11 -11 -10 -11 -9 -10 -8 -9 -7 -9 -6 -8 -4 -8 -3 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -5 -9 -6 -10 -6 -9 -6 -8 -7 -7 -7 -6 -9 -6 -10 -6 -11 -6 -11 -7 -12 -8 -13 -9 -13 -9 -12 -10 -12 -10 -11 -10 -10 -10 -9 -9 -9 -9 -10 -8 -10 -7 -12 -7 -11 -7 -12 -8 -14 -8 -15,0 0 -13 13 -13 13 -12 12 -10 11 -9 10 -8 9 -7 9 -8 8 -9 7 -9 6 -12 6 -11 6 -11 7 -12 9 -11 10 -9 11 -10 11 -9 11 -8 10 -7 9 -6 8 -6 7 -5 5 -6 4 -7 2 -8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 8 -4 8 -5 9 -6 9 -6 9 -7 8 -8 8 -9 8 -10 7 -10 8 -11 9 -11 10 -11 11 -11 11 -11 11 -10 11 -9 11 -9 10 -8 9 -9 10 -11 9 -12 10 -12 8 -12 9 -13 10 -13 11
138029147,7E:8A:AE:D6:C8:CD,28416,90.00,-77,-81,0 0 14 1 16 2 16 3 17 3 17 1 18 1 14 -1 14 -2 13 -1 14 -2 12 0 11 -1 10 0 12 1 12 1 13 3 14 3 14 2 15 2 15 1 16 2 13 2 14 1 11 2 11 2 10 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -4 10 -3 10 -4 9 -4 9 -4 10 -2 9 -2 8 0 7 -1 8 1 8 2 10 2 11 3 12 2 12 1 14 1 14 0 14 0 12 -2 12 -3 12 -2 11 -3 10 -3 10 0 12 0 12 1,0 0 -14 1 -16 4 -17 4 -19 3 -19 7 -18 6 -17 8 -13 7 -15 6 -12 4 -10 2 -10 1 -9 -1 -13 -2 -11 -6 -13 -6 -16 -8 -18 -8 -18 -8 -19 -10 -17 -7 -15 -9 -16 -8 -12 -9 -11 -9 -10 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 8 -2 7 0 6 1 7 0 5 0 3 -1 2 -5 0 -5 0 -6 -1 -8 0 -9 2 -10 2 -8 4 -9 4 -9 7 -6 7 -5 9 -3 10 -2 10 -2 10 -5 8 -2 6 -3 7 -6 4 -8 3
37160003,7E:8A:AE:D6:C8:CD,0,-2.06,-49,-36,0 0 7 -18 6 -17 5 -16 3 -15 2 -13 3 -11 3 -9 4 -8 5 -7 6 -7 8 -7 10 -8 10 -9 11 -10 10 -12 9 -13 8 -14 7 -14 6 -14 5 -13 4 -11 3 -9 3 -7 3 -5 4 -4 6 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -12 -3 -13 -1 -13 0 -13 2 -14 3 -15 4 -16 5 -17 5 -17 5 -17 4 -18 4 -18 3 -18 2 -16 2 -15 2 -14 2 -13 3 -11 4 -10 5 -10 7 -11 8 -12 8 -12 10 -14 9 -15 9 -17,0 0 5 -16 2 -17 2 -16 2 -15 2 -13 3 -13 3 -12 4 -11 4 -11 5 -12 7 -12 6 -13 6 -13 5 -14 5 -15 4 -15 3 -15 2 -15 2 -15 2 -14 2 -12 2 -11 3 -10 3 -9 4 -8 5 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -12 0 -12 1 -13 2 -13 3 -14 4 -14 4 -15 5 -16 5 -16 4 -16 5 -16 4 -16 4 -16 3 -15 2 -14 3 -14 3 -13 3 -12 4 -12 5 -13 6 -14 7 -14 6 -14 6 -15 7 -17 6 -18
37199543,7E:8A:AE:D6:C8:CD,0,-90.00,-50,-36,0 0 -18 8 -15 8 -14 8 -11 7 -10 6 -10 5 -8 3 -8 2 -9 0 -9 -1 -11 -3 -13 -3 -14 -2 -16 -1 -15 0 -16 2 -16 3 -15 4 -14 4 -13 4 -11 4 -9 3 -7 2 -6 0 -5 -2 -5 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 11 -5 10 -6 9 -9 9 -10 9 -12 8 -13 9 -14 9 -15 10 -15 10 -15 10 -14 11 -13 11 -12 10 -11 9 -10 8 -9 7 -9 5 -10 4 -11 3 -12 2 -14 2 -15 2 -16 3 -18 4 -18 6,0 0 17 -2 16 -3 15 -3 13 -3 13 -3 12 -2 11 -1 10 0 10 1 12 1 12 1 13 1 13 0 14 0 14 -1 14 -2 14 -2 14 -3 13 -3 13 -3 11 -3 10 -2 9 -1 8 0 8 1 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -5 11 -4 11 -4 12 -2 13 -2 14 -2 15 -1 15 -1 16 -1 16 -1 16 -1 15 -2 15 -2 14 -2 13 -2 13 -2 12 -2 12 -1 12 -1 13 0 13 0 14 1 15 1 15 1 17 0 17 -2
37234291,7E:8A:AE:D6:C8:CD,47200,30.67,-50,-36,0 0 9 -18 7 -16 6 -14 4 -13 3 -11 4 -9 4 -7 5 -5 7 -4 8 -4 10 -4 12 -5 13 -6 14 -7 13 -9 13 -10 12 -11 10 -12 9 -11 7 -11 6 -9 5 -7 4 -5 4 -3 5 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -10 -4 -11 -3 -12 -1 -13 1 -13 2 -15 3 -16 4 -17 4 -18 3 -18 3 -18 2 -18 2 -18 1 -16 1 -14 2 -13 2 -11 4 -10 5 -9 6 -9 8 -10 10 -10 11 -11 12 -13 11 -15 10 -16,0 0 14 8 15 5 14 5 13 4 12 4 11 4 9 4 9 6 8 6 9 7 10 7 10 8 11 7 12 8 12 7 13 6 13 5 13 5 13 4 12 4 11 3 9 3 8 4 7 4 6 5 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1 11 2 11 3 11 4 12 5 12 6 13 7 14 7 14 7 14 7 14 7 14 6 14 6 13 5 12 4 11 5 11 5 10 6 10 6 11 7 11 8 11 8 12 8 13 9 14 9 16 8
37278675,7E:8A:AE:D6:C8:CD,47216,0.02,-50,-43,0 0 17 10 14 9 14 7 11 5 9 4 7 4 5 5 2 6 1 8 1 9 0 12 1 14 2 15 4 17 5 15 7 15 9 14 9 13 8 11 8 9 7 7 4 6 2 5 0 4 -3 5 -5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -7 10 -5 10 -3 12 -1 13 1 15 2 16 3 17 4 18 4 18 3 18 3 18 2 17 1 15 0 13 1 11 1 10 2 8 3 7 5 7 8 8 10 9 12 10 12 12 13 14 14 15 12,0 0 14 9 14 8 13 6 12 6 11 5 10 6 8 6 8 6 8 7 8 8 8 9 9 9 9 9 11 9 12 9 12 7 13 7 13 6 12 5 11 5 10 5 8 4 7 4 6 5 5 6 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 3 11 4 11 5 11 6 11 7 11 8 12 9 12 10 13 10 13 9 13 9 13 9 13 8 12 7 11 7 11 6 10 6 9 7 9 7 9 8 10 9 10 10 10 10 11 10 13 11 14 10
42109121,7E:8A:AE:D6:C8:CD,0,7.37,-53,-36,0 0 -16 1 -15 0 -15 1 -14 1 -14 1 -15 1 -14 1 -14 2 -14 1 -14 2 -14 2 -14 2 -13 2 -14 3 -13 3 -13 3 -14 2 -14 2 -13 2 -14 2 -13 1 -13 1 -13 1 -12 0 -12 0 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 3 -11 2 -11 2 -12 2 -12 2 -12 1 -13 1 -13 1 -14 0 -13 0 -14 0 -14 0 -14 0 -13 0 -13 0 -14 0 -14 0 -14 0 -13 0 -14 0 -15 0 -14 0 -14 1 -14 1 -15 1 -14 2,0 0 -16 -6 -14 -5 -14 -6 -14 -5 -14 -4 -15 -4 -13 -4 -14 -4 -14 -4 -14 -3 -14 -4 -14 -3 -13 -3 -14 -3 -13 -3 -13 -3 -14 -3 -14 -3 -13 -3 -14 -4 -13 -4 -12 -4 -12 -5 -12 -4 -11 -5 -11 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -2 -12 -2 -13 -3 -13 -3 -12 -4 -13 -4 -13 -4 -14 -5 -14 -5 -13 -5 -13 -5 -13 -6 -13 -6 -13 -6 -13 -5 -14 -6 -13 -5 -13 -5 -13 -5 -14 -5 -14 -5 -15 -5 -14 -5 -14 -5 -15 -5 -16 -4
42324147,7E:8A:AE:D6:C8:CD,48160,15.47,-52,-35,0 0 1 2 3 6 6 8 7 9 9 10 11 12 11 12 11 12 12 12 11 12 11 10 10 9 9 7 8 5 6 2 4 -1 3 -4 2 -6 1 -9 0 -12 0 -14 0 -15 0 -17 0 -17 0 -17 1 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -9 9 -9 10 -9 11 -8 12 -6 11 -5 10 -4 8 -2 6 -1 3 -1 0 0 -3 0 -6 0 -9 -1 -11 -2 -14 -2 -15 -3 -17 -3 -17 -4 -17 -4 -16 -4 -15 -4 -13 -4 -11 -3 -9 -2 -6 -1,0 0 10 -5 8 -4 9 -1 10 1 11 3 14 4 15 4 16 4 18 3 18 1 19 -1 18 -2 15 -3 14 -3 12 -3 10 -2 8 -1 7 2 6 4 6 7 5 9 6 11 7 12 7 13 8 13 8 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 2 -13 3 -14 3 -16 3 -16 3 -17 3 -17 3 -17 3 -15 2 -13 3 -12 4 -10 5 -8 6 -7 8 -6 10 -6 12 -6 13 -6 14 -7 16 -9 16 -10 15 -11 14 -11 13 -12 12 -12 10 -11
44428504,7E:8A:AE:D6:C8:CD,0,-44.97,-54,-48,0 0 6 15 5 15 6 14 8 14 8 12 8 12 7 9 7 8 6 7 5 6 3 6 1 6 -1 7 -1 8 -2 10 -1 11 -1 14 0 14 1 15 2 15 4 14 4 13 5 11 4 8 4 7 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 12 2 12 2 11 3 11 4 10 5 10 6 9 8 9 9 9 10 9 10 9 11 10 11 10 10 10 10 11 10 10 9 10 8 8 7 8 7 7 8 6 8 5 9 4 9 4 11 5 11,0 0 5 -13 6 -13 7 -13 6 -13 6 -13 6 -13 5 -13 4 -12 4 -12 3 -13 3 -12 3 -11 3 -11 3 -11 4 -10 4 -10 5 -11 5 -11 5 -11 5 -12 5 -12 4 -12 4 -12 3 -11 3 -10 3 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -12 3 -13 3 -14 4 -14 4 -14 4 -14 5 -14 5 -14 6 -13 5 -13 6 -13 6 -12 6 -12 6 -12 6 -12 7 -12 6 -12 6 -13 6 -12 6 -13 6 -14 6 -13 5 -13 5 -13 5 -13 5 -13
