timestamp,mac,seq_ctrl,aoa,IQ_master,IQ_worker
9639785,7E:8A:AE:D6:C8:CD,20928,10.62,0 0 -10 -13 -11 -12 -10 -12 -11 -11 -10 -10 -10 -11 -10 -10 -9 -10 -9 -9 -10 -9 -10 -9 -10 -9 -9 -8 -10 -8 -11 -8 -11 -8 -11 -7 -11 -7 -12 -7 -11 -7 -11 -7 -10 -7 -9 -6 -9 -6 -8 -6 -7 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -8 -12 -9 -12 -9 -12 -9 -11 -10 -11 -10 -12 -11 -10 -12 -10 -12 -10 -12 -10 -12 -9 -13 -9 -13 -9 -12 -8 -12 -10 -14 -9 -13 -9 -12 -8 -12 -9 -12 -9 -12 -10 -12 -8 -11 -9 -12 -11 -12 -12 -12,0 0 -2 -16 -3 -17 -4 -17 -3 -16 -4 -15 -4 -15 -4 -14 -4 -13 -4 -13 -3 -12 -3 -12 -3 -12 -2 -12 -2 -13 -2 -13 -2 -14 -3 -14 -4 -14 -4 -14 -4 -13 -4 -12 -3 -11 -3 -10 -3 -9 -2 -8 -1 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -11 -6 -11 -6 -12 -5 -12 -4 -12 -4 -12 -3 -12 -2 -13 -1 -13 -1 -14 -1 -15 -1 -15 -1 -16 -2 -15 -2 -15 -3 -16 -3 -15 -3 -14 -4 -13 -3 -14 -3 -13 -3 -14 -2 -13 -2 -14 -2 -15 -1 -16
9693487,7E:8A:AE:D6:C8:CD,20944,29.24,0 0 2 16 3 14 2 13 3 14 3 13 3 13 3 12 3 11 3 12 4 11 4 12 3 11 3 11 4 10 4 10 5 10 5 11 5 10 6 10 5 10 5 9 5 9 4 9 4 8 3 7 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 10 7 11 8 11 8 12 7 13 7 13 5 13 5 14 5 14 3 14 3 14 2 14 2 15 2 15 2 14 2 15 2 15 2 13 2 13 3 14 3 14 3 14 2 13 3 14 3 15 5 14,0 0 -15 6 -17 6 -17 7 -15 6 -14 6 -14 7 -13 6 -12 5 -11 6 -11 6 -12 5 -11 4 -11 4 -13 4 -12 4 -13 4 -13 6 -13 6 -12 6 -12 6 -11 6 -10 5 -9 5 -8 4 -8 3 -7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 7 -10 7 -10 6 -10 6 -10 5 -10 5 -11 5 -12 4 -13 3 -12 2 -14 3 -14 3 -15 3 -15 4 -14 4 -15 6 -14 6 -13 5 -12 5 -13 6 -12 6 -13 5 -12 5 -13 4 -14 4 -15 4
9744913,7E:8A:AE:D6:C8:CD,20960,-31.67,0 0 -2 16 -1 15 -1 14 -1 14 -1 14 -2 14 -1 13 -1 12 0 12 1 12 1 13 0 12 0 11 0 12 1 12 1 12 1 12 2 11 2 11 2 11 2 10 2 10 2 9 1 9 1 7 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 12 3 12 3 13 3 14 2 14 2 13 1 14 0 14 -1 14 -1 14 -1 14 -3 14 -3 15 -3 14 -3 14 -3 15 -3 15 -3 13 -2 13 -2 15 -2 14 -2 15 -2 13 -1 15 -1 15 0 15,0 0 16 1 17 1 17 0 16 0 15 -1 15 -1 14 -2 12 -1 12 -1 12 -1 12 0 12 1 12 1 13 1 13 1 13 0 14 0 14 0 14 -1 13 -1 12 -1 11 -1 10 -1 9 0 8 0 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -2 11 -2 11 -2 11 -2 11 -2 11 -1 11 -1 11 1 12 1 12 2 13 2 13 2 14 2 14 2 14 1 15 0 14 0 13 0 13 -1 13 -1 13 0 13 0 12 1 13 1 15 1 15 1
13308848,7E:8A:AE:D6:C8:CD,21136,-26.33,0 0 -13 -8 -15 -8 -15 -9 -14 -9 -13 -9 -13 -8 -13 -8 -12 -7 -13 -7 -14 -7 -14 -7 -13 -7 -13 -6 -13 -6 -12 -6 -13 -6 -13 -5 -13 -5 -13 -6 -12 -6 -11 -6 -11 -6 -11 -6 -10 -6 -10 -6 -9 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -8 -6 -9 -6 -9 -6 -9 -7 -9 -8 -10 -8 -10 -9 -9 -9 -9 -8 -10 -8 -10 -9 -10 -9 -10 -9 -10 -9 -11 -10 -10 -9 -11 -9 -10 -8 -11 -8 -12 -9 -12 -9 -11 -8 -12 -8 -13 -9 -14 -9,0 0 -11 10 -11 12 -10 12 -10 11 -9 11 -9 10 -8 10 -7 8 -7 8 -7 8 -8 9 -9 8 -9 8 -10 9 -10 9 -9 10 -9 11 -8 11 -7 11 -7 11 -7 9 -6 8 -6 7 -5 6 -6 5 -7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 11 -8 11 -8 10 -8 10 -8 10 -9 9 -9 9 -11 8 -12 8 -12 7 -13 7 -13 7 -12 8 -12 8 -11 9 -12 10 -11 9 -11 8 -9 8 -9 9 -9 8 -9 8 -10 8 -11 9 -12 8 -12 9
13380845,7E:8A:AE:D6:C8:CD,21152,17.56,0 0 -5 -16 -3 -17 -4 -17 -4 -17 -4 -15 -5 -16 -5 -14 -5 -13 -5 -13 -5 -12 -4 -14 -3 -13 -3 -13 -4 -14 -4 -13 -5 -14 -5 -15 -5 -14 -5 -14 -5 -14 -5 -12 -5 -12 -5 -11 -4 -10 -3 -9 -2 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -10 -3 -10 -4 -10 -4 -11 -4 -12 -3 -11 -2 -12 -2 -12 -1 -12 -1 -12 -1 -12 -1 -13 -1 -14 -1 -14 -1 -14 -2 -15 -2 -14 -3 -13 -3 -13 -4 -14 -3 -14 -3 -14 -2 -13 -2 -14 -3 -15 -3 -13,0 0 12 -10 9 -12 10 -13 9 -13 9 -12 8 -12 7 -10 7 -9 7 -9 7 -10 7 -10 7 -10 8 -9 9 -10 9 -10 9 -11 8 -11 8 -12 7 -11 6 -11 6 -11 6 -10 6 -8 5 -7 5 -6 6 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -13 7 -13 7 -13 7 -13 6 -11 7 -12 8 -11 9 -11 11 -10 11 -9 11 -10 11 -10 11 -10 11 -11 10 -11 11 -12 10 -11 9 -10 8 -10 8 -10 8 -10 9 -10 9 -9 10 -10 11 -12 11 -12
13639209,7E:8A:AE:D6:C8:CD,21264,-31.37,0 0 5 13 6 15 6 14 5 14 5 14 5 13 5 13 5 12 6 12 6 12 7 13 6 12 6 12 6 12 7 11 7 11 7 12 6 11 6 11 5 11 5 10 5 10 4 10 4 10 4 9 3 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 8 4 8 4 9 5 10 5 11 5 10 4 12 3 12 3 12 3 12 3 12 3 13 3 13 3 13 3 12 3 14 3 13 3 12 3 12 4 13 4 14 5 14 4 13 4 14 5 14 5 14,0 0 13 -6 14 -6 13 -6 14 -6 13 -5 13 -5 12 -5 11 -5 11 -6 11 -6 11 -7 11 -6 10 -6 10 -6 10 -6 10 -6 10 -6 10 -7 10 -7 10 -6 9 -5 9 -5 9 -5 8 -4 8 -4 8 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -5 11 -5 12 -5 12 -5 12 -4 12 -4 13 -4 14 -3 14 -3 14 -3 14 -3 14 -3 14 -3 14 -3 13 -3 14 -4 13 -3 13 -3 13 -3 13 -4 13 -4 14 -5 13 -4 14 -5 15 -5 15 -4
13693525,7E:8A:AE:D6:C8:CD,21280,60.66,0 0 -6 13 -6 15 -6 15 -5 15 -5 14 -5 14 -3 13 -4 13 -4 12 -4 12 -4 12 -5 12 -5 11 -5 12 -4 12 -4 13 -4 14 -4 13 -4 13 -4 12 -4 11 -3 11 -3 10 -3 9 -4 8 -4 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 9 -2 9 -3 10 -3 10 -3 10 -4 10 -4 11 -6 10 -6 10 -6 10 -6 10 -6 11 -7 12 -6 11 -6 11 -6 13 -6 12 -6 12 -5 12 -5 13 -5 13 -6 13 -6 12 -6 13 -6 13 -7 13,0 0 1 -15 -2 -16 -2 -16 -3 -16 -3 -15 -2 -15 -3 -13 -2 -12 -2 -11 -2 -12 -1 -12 -1 -12 -1 -13 -1 -14 -1 -14 -1 -14 -2 -14 -2 -14 -3 -14 -3 -13 -3 -12 -2 -11 -2 -10 -1 -9 0 -8 1 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -13 -4 -13 -4 -13 -4 -13 -3 -13 -3 -13 -2 -14 -1 -14 0 -15 0 -14 1 -14 0 -15 0 -15 0 -15 -1 -15 -1 -15 0 -14 -1 -14 -1 -13 -2 -14 -2 -14 -1 -14 -1 -14 0 -15 0 -16 0 -17
14589676,7E:8A:AE:D6:C8:CD,16736,29.48,0 0 16 2 14 3 15 3 14 3 13 3 14 3 13 2 13 2 13 2 14 1 14 1 13 2 13 1 13 1 13 1 13 1 14 0 13 1 14 1 13 1 13 1 11 2 11 2 12 2 11 2 10 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1 8 1 9 1 10 1 10 2 10 2 11 3 11 4 11 4 11 4 12 3 12 3 11 4 11 4 11 4 13 5 11 4 12 4 11 3 12 3 12 4 13 3 13 4 13 4 14 3 14 3,0 0 -1 13 -1 15 -1 15 -1 14 -1 14 -2 14 -1 13 -1 12 0 13 0 13 1 14 1 13 1 13 1 13 1 12 1 13 1 13 1 13 1 13 0 12 0 12 0 12 -1 11 0 11 -1 10 -1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 11 -2 11 -2 11 -2 12 -3 11 -3 12 -3 13 -5 13 -5 13 -5 12 -4 12 -4 12 -4 13 -4 12 -4 12 -4 14 -4 13 -4 12 -3 12 -3 13 -3 13 -2 14 -2 13 -2 14 -2 15 -3 14
14616187,7E:8A:AE:D6:C8:CD,16736,-15.93,0 0 13 -7 14 -6 14 -7 13 -6 12 -6 12 -7 11 -7 10 -7 11 -7 12 -7 12 -7 11 -7 11 -6 11 -7 10 -7 11 -8 12 -9 11 -8 12 -8 11 -8 11 -7 9 -7 9 -7 8 -6 8 -5 8 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -4 8 -4 9 -5 9 -5 9 -5 10 -4 10 -4 10 -3 11 -3 10 -3 11 -2 11 -3 12 -3 12 -3 12 -3 13 -4 11 -4 12 -4 11 -5 12 -5 12 -5 12 -5 11 -4 12 -5 13 -5 12 -5,0 0 4 -14 5 -15 4 -16 4 -16 3 -15 3 -15 3 -14 2 -13 2 -13 2 -13 2 -14 3 -13 3 -13 3 -14 3 -13 2 -14 2 -15 1 -15 1 -15 1 -14 1 -13 1 -12 1 -11 2 -10 2 -9 3 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -13 3 -12 3 -13 3 -13 3 -12 3 -12 4 -12 5 -11 6 -11 7 -10 7 -11 8 -12 7 -12 7 -13 7 -13 7 -14 6 -13 6 -13 4 -12 4 -13 4 -13 4 -13 4 -12 5 -13 5 -13 6 -14
16606411,7E:8A:AE:D6:C8:CD,21536,6.50,0 0 -11 2 -14 2 -15 0 -15 0 -15 0 -16 1 -17 3 -17 3 -18 5 -18 4 -17 5 -14 4 -14 4 -13 5 -13 4 -15 3 -16 2 -16 1 -18 0 -19 0 -18 0 -18 0 -18 1 -18 2 -18 1 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 0 -4 2 -5 2 -7 3 -6 2 -7 2 -8 2 -6 2 -6 2 -6 3 -7 3 -8 3 -8 1 -9 0 -8 0 -9 0 -9 1 -10 1 -12 2 -13 3 -13 3 -13 3 -11 3 -10 4 -9 4 -11 4,0 0 -10 -3 -14 -4 -16 -5 -17 -5 -17 -4 -16 -3 -16 -1 -14 0 -15 1 -15 1 -15 0 -13 -2 -11 -3 -12 -3 -11 -4 -12 -5 -13 -6 -15 -6 -16 -7 -16 -8 -15 -8 -14 -7 -13 -6 -14 -5 -12 -6 -11 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 5 -11 5 -10 5 -9 6 -8 5 -8 4 -8 2 -8 0 -9 -2 -8 -4 -9 -4 -10 -4 -12 -4 -14 -3 -14 -3 -16 -2 -15 -2 -13 0 -13 1 -12 3 -13 4 -11 2 -10 0 -10 -1 -9 -3 -9 -3
