timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
72440643,74:04:F1:A8:5A:57,26928,-8.06,-41,-38,0 0 -11 -7 -14 -8 -13 -8 -13 -8 -12 -8 -13 -7 -13 -7 -12 -7 -13 -6 -12 -6 -13 -6 -12 -6 -13 -5 -13 -6 -12 -5 -13 -5 -13 -5 -13 -5 -12 -5 -12 -6 -12 -6 -12 -6 -11 -6 -11 -6 -11 -6 -11 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -6 -11 -7 -11 -7 -11 -8 -11 -8 -11 -8 -11 -8 -11 -9 -11 -9 -10 -9 -11 -9 -11 -9 -10 -9 -10 -9 -10 -9 -11 -9 -11 -8 -11 -8 -11 -8 -12 -8 -12 -8 -12 -8 -12 -7 -12 -8 -12 -8 -12 -9,0 0 -14 -1 -16 -2 -15 -2 -15 -2 -15 -2 -15 -1 -15 -1 -14 -1 -15 0 -14 0 -15 0 -14 0 -15 1 -15 1 -14 1 -15 1 -15 1 -15 1 -14 0 -15 0 -14 0 -14 0 -14 -1 -14 -1 -14 -1 -14 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -2 -12 -2 -13 -3 -13 -3 -13 -3 -13 -3 -13 -4 -13 -4 -13 -4 -13 -4 -13 -4 -13 -4 -12 -4 -13 -4 -13 -4 -14 -4 -13 -3 -13 -3 -13 -3 -14 -3 -14 -2 -14 -2 -14 -2 -14 -2 -15 -2 -14 -2
73292086,74:04:F1:A8:5A:57,27008,-8.98,-42,-39,0 0 -13 5 -14 6 -14 6 -13 6 -13 6 -13 6 -13 6 -12 6 -12 7 -12 6 -12 7 -12 7 -12 7 -12 7 -11 7 -12 7 -12 7 -12 7 -12 7 -12 7 -12 7 -12 6 -12 6 -12 5 -12 5 -12 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 5 -12 5 -13 5 -13 5 -13 4 -13 4 -13 4 -14 4 -14 3 -13 3 -14 3 -14 3 -13 3 -14 3 -13 3 -14 4 -13 4 -13 4 -13 4 -14 4 -13 5 -13 5 -13 5 -13 5 -14 6 -14 5,0 0 -9 11 -10 11 -9 11 -9 11 -9 11 -9 11 -9 11 -8 11 -8 11 -8 10 -8 11 -7 11 -7 11 -7 11 -7 11 -7 11 -7 11 -7 12 -7 11 -8 11 -8 10 -8 10 -8 10 -8 10 -8 9 -9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 9 -7 9 -8 9 -8 10 -8 9 -9 9 -9 9 -9 9 -10 9 -9 8 -10 9 -10 9 -10 8 -10 9 -9 9 -10 9 -9 9 -9 9 -9 9 -9 10 -9 10 -9 10 -9 10 -9 10 -10 11 -10 11
74935793,74:04:F1:A8:5A:57,0,32.17,-39,-39,0 0 4 -13 4 -15 4 -14 4 -14 4 -14 3 -14 3 -14 3 -13 3 -14 3 -14 3 -14 2 -14 2 -13 2 -14 2 -13 2 -14 2 -14 2 -14 2 -14 3 -14 3 -14 3 -13 3 -13 3 -12 4 -12 4 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -12 3 -12 4 -13 4 -12 4 -12 4 -12 5 -12 5 -12 5 -12 5 -12 6 -12 6 -12 5 -11 5 -12 5 -12 5 -13 5 -12 5 -12 4 -12 4 -13 4 -13 4 -13 4 -13 4 -13 5 -14 5 -14,0 0 13 4 14 5 13 4 14 4 13 4 13 4 13 4 13 4 13 3 13 3 13 3 13 3 13 2 13 2 13 2 13 2 14 2 14 2 13 3 13 3 13 3 13 3 13 4 12 4 12 4 12 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 10 3 11 4 11 4 11 5 11 5 11 5 11 5 11 5 11 6 11 6 11 6 10 6 11 6 10 6 11 6 11 5 11 5 12 5 12 5 12 5 12 5 12 5 12 4 13 5 13 5
79039749,7E:8A:AE:D6:C8:CD,27408,-26.87,-69,-76,0 0 -11 -10 -11 -10 -11 -9 -11 -10 -11 -8 -12 -9 -11 -9 -12 -8 -11 -8 -11 -8 -11 -8 -11 -7 -11 -7 -11 -7 -11 -7 -11 -6 -11 -7 -11 -6 -11 -6 -11 -7 -10 -6 -10 -6 -10 -7 -9 -7 -9 -7 -8 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -7 -11 -7 -11 -7 -11 -8 -10 -8 -10 -9 -11 -9 -11 -10 -10 -10 -10 -10 -10 -10 -10 -10 -11 -11 -10 -10 -10 -11 -11 -10 -10 -10 -11 -10 -11 -10 -11 -10 -11 -11 -11 -10 -11 -9 -11 -10 -12 -10 -13 -10,0 0 -9 7 -9 8 -9 8 -9 7 -7 6 -7 7 -7 8 -7 7 -6 6 -6 6 -5 6 -5 7 -3 6 -4 5 -4 6 -3 5 -3 5 -3 4 -3 4 -2 4 -3 4 -2 4 -3 2 -2 3 -2 2 -2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 13 -13 12 -14 12 -15 11 -15 11 -15 9 -16 10 -15 10 -16 10 -16 10 -16 10 -16 8 -16 8 -14 8 -14 8 -14 9 -13 7 -13 9 -11 9 -13 10 -12 9 -13 10 -10 8 -10 9 -12 10 -11 11
79077376,7E:8A:AE:D6:C8:CD,27408,-24.08,-70,-78,0 0 -14 6 -13 7 -13 7 -12 7 -11 7 -12 7 -11 7 -11 7 -11 7 -11 8 -11 7 -10 8 -9 7 -10 8 -9 8 -9 7 -10 8 -10 7 -9 7 -10 7 -10 7 -10 7 -10 5 -9 6 -9 5 -9 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 7 -9 7 -10 8 -11 7 -11 7 -11 7 -12 7 -13 6 -13 6 -12 6 -12 7 -13 6 -14 6 -12 5 -13 6 -13 6 -12 6 -13 6 -12 7 -13 7 -13 7 -12 7 -13 7 -12 7 -13 8 -13 8,0 0 3 13 4 11 1 12 4 9 6 10 6 9 4 8 1 9 4 8 5 7 4 6 2 6 2 3 4 3 3 4 4 1 1 4 3 3 0 3 1 3 1 2 0 1 -1 1 -1 1 1 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 18 5 17 4 19 5 19 5 19 2 19 0 18 -1 17 2 20 1 18 -2 22 -1 21 -1 18 1 15 1 18 2 16 2 15 3 15 3 15 2 15 1 15 1 16 2 14 4 16 2 12 4 13
81800992,7E:8A:AE:D6:C8:CD,27520,26.76,-75,-75,0 0 5 15 7 16 8 15 10 15 10 13 10 12 8 10 5 9 4 9 2 9 0 9 -1 10 -3 13 -3 15 -4 16 -3 18 -2 18 -1 17 0 17 1 17 0 15 -1 13 -1 10 -2 7 -4 6 -6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -6 8 -4 7 -2 6 -2 5 0 4 1 4 4 4 6 7 6 7 9 9 10 11 11 11 11 11 9 12 7 13 6 13 4 12 3 9 4 8 2 5 4 3 5 4 7 5 10 3 12 4 15,0 0 -11 6 -11 8 -11 8 -10 8 -8 10 -9 11 -7 10 -6 9 -5 9 -4 9 -3 7 -2 6 -2 5 -2 5 -3 3 -2 2 -4 2 -5 2 -5 2 -7 2 -7 3 -7 4 -7 4 -6 5 -5 4 -4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 20 1 19 0 18 -1 17 -2 16 -4 14 -6 13 -8 13 -10 11 -10 12 -12 13 -14 15 -14 15 -13 14 -11 15 -10 15 -9 15 -8 14 -5 13 -5 13 -5 11 -5 10 -5 8 -5 8 -8 7 -8 8
81835726,7E:8A:AE:D6:C8:CD,27536,-13.92,-77,-74,0 0 7 15 7 16 11 16 12 15 11 15 10 14 9 11 7 10 3 7 2 8 1 10 -3 11 -2 11 -4 15 -4 17 -5 17 -3 19 -1 18 -1 18 -1 19 0 17 -2 14 -2 11 -4 8 -4 6 -7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -6 5 -6 5 -5 4 -2 5 -1 2 1 3 3 5 6 7 7 9 8 9 9 11 9 13 10 10 7 13 6 14 3 12 4 13 2 8 2 8 4 6 5 4 5 3 7 3 10 4 12 5 15,0 0 -12 -11 -12 -9 -12 -8 -12 -7 -14 -6 -12 -6 -11 -3 -12 -2 -11 -3 -9 -2 -10 -2 -10 -1 -8 -1 -7 -2 -7 -2 -6 -2 -7 -2 -6 -3 -6 -1 -8 -3 -8 -4 -6 -4 -6 -3 -5 -3 -7 -3 -7 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 0 -20 0 -20 -2 -19 -2 -17 -3 -15 -4 -15 -8 -15 -10 -13 -11 -15 -11 -15 -12 -17 -13 -17 -13 -17 -10 -17 -9 -18 -8 -17 -7 -17 -6 -14 -4 -14 -4 -14 -4 -11 -6 -10 -5 -11 -7 -13 -7 -13 -7
81864175,7E:8A:AE:D6:C8:CD,27536,-8.87,-77,-74,0 0 -15 -9 -18 -9 -18 -6 -19 -6 -18 -5 -17 -4 -14 -4 -11 -4 -8 -5 -8 -6 -6 -8 -6 -10 -7 -12 -7 -15 -7 -16 -8 -17 -11 -16 -11 -15 -12 -16 -12 -15 -11 -14 -8 -12 -6 -11 -3 -8 -1 -7 3 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 8 -1 7 -2 6 -2 4 -4 3 -5 0 -6 0 -8 0 -11 -2 -13 -1 -13 -1 -16 -2 -17 -1 -16 1 -15 3 -13 5 -13 5 -11 5 -10 4 -9 2 -8 0 -6 -2 -8 -3 -11 -4 -12 -8 -13 -10,0 0 -12 0 -15 1 -14 3 -14 3 -13 4 -13 4 -10 4 -9 6 -10 4 -8 4 -7 4 -7 3 -6 4 -6 4 -7 4 -6 4 -6 3 -6 3 -6 4 -7 4 -8 2 -5 2 -6 4 -6 2 -6 2 -7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 10 -16 9 -17 9 -16 7 -15 5 -15 4 -16 2 -17 0 -16 -1 -16 0 -18 -2 -20 -2 -22 0 -19 1 -18 2 -18 4 -16 4 -15 4 -14 4 -12 5 -11 4 -12 4 -11 3 -10 2 -13 1 -14 0
81907109,7E:8A:AE:D6:C8:CD,27536,-8.37,-77,-75,0 0 -1 -22 -4 -20 -5 -19 -7 -17 -7 -19 -5 -18 -6 -13 -5 -11 -3 -12 0 -10 2 -12 3 -10 8 -13 10 -17 10 -15 10 -18 10 -18 6 -18 7 -20 7 -17 5 -17 5 -13 6 -11 6 -8 4 -4 8 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 6 -8 5 -5 3 -6 2 -3 -1 -4 -4 -3 -5 -6 -5 -9 -10 -8 -10 -12 -11 -10 -12 -10 -13 -13 -11 -14 -9 -15 -10 -15 -6 -12 -5 -11 -5 -9 -6 -6 -7 -3 -6 -3 -6 -5 -9 -4 -16 -4 -17,0 0 5 12 4 12 4 13 7 12 7 11 7 8 7 10 9 8 6 7 6 6 6 6 6 4 6 5 5 6 4 6 4 5 5 4 5 3 3 4 4 6 5 5 5 6 4 4 4 5 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 11 15 11 14 11 12 12 10 9 10 11 6 12 7 15 6 16 5 16 5 17 6 18 6 18 7 16 9 15 8 16 9 14 11 12 10 11 7 10 8 11 6 8 5 9 7 8 4 10 4 12
81950045,7E:8A:AE:D6:C8:CD,27536,-8.56,-80,-75,0 0 -8 -17 -12 -14 -14 -14 -13 -14 -14 -13 -12 -13 -8 -10 -6 -10 -4 -10 -2 -10 -1 -11 1 -14 2 -14 4 -20 3 -20 2 -19 1 -22 1 -21 -1 -20 -1 -18 -1 -16 1 -13 2 -11 4 -7 5 -3 8 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 6 -3 4 -3 4 -2 2 -1 1 -3 -4 -3 -2 -5 -5 -8 -6 -10 -7 -12 -6 -14 -7 -14 -6 -13 -6 -14 -3 -12 -3 -13 -1 -13 -1 -9 -1 -8 -3 -5 -1 -5 -4 -6 -6 -6 -12 -5 -14 -7 -16,0 0 12 10 10 8 11 7 12 6 11 4 12 3 10 4 9 4 7 4 7 1 7 2 9 1 7 2 8 3 6 3 8 2 8 2 8 1 8 1 6 1 6 0 6 1 7 1 5 0 4 2 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 5 19 6 15 6 16 7 12 8 13 8 11 11 10 13 10 13 11 12 11 15 14 16 13 14 12 14 15 11 14 11 15 8 13 8 11 5 13 6 10 7 9 7 8 5 10 8 10 8 10 9
