timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker,distance_m,angle_deg
204612727,7E:8A:AE:D6:C8:CD,39088,-8.2,-59,-58,0 0 -14 -5 -14 -4 -11 -4 -9 -5 -8 -6 -6 -8 -6 -9 -6 -11 -7 -12 -9 -13 -10 -14 -11 -14 -12 -13 -13 -12 -13 -10 -13 -8 -12 -7 -10 -7 -9 -6 -7 -7 -5 -7 -3 -8 -2 -9 -1 -10 -1 -11 -1 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 3 -11 1 -12 -1 -14 -2 -16 -2 -17 -3 -19 -3 -19 -2 -20 -2 -18 -1 -18 -1 -16 -1 -15 -1 -13 -1 -11 -2 -11 -4 -10 -6 -10 -8 -10 -9 -12 -11 -14 -11 -15 -11 -16 -10 -17 -10 -18 -9 -18 -7,0 0 -16 1 -11 1 -9 -2 -7 -3 -6 -6 -5 -10 -4 -12 -5 -14 -6 -17 -8 -17 -9 -18 -11 -17 -11 -15 -12 -15 -11 -12 -10 -11 -8 -9 -6 -8 -3 -7 0 -7 3 -6 5 -6 8 -7 9 -8 11 -8 11 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 7 -3 9 -5 11 -6 13 -6 14 -7 15 -7 17 -6 17 -6 17 -5 15 -4 14 -5 12 -5 9 -5 6 -6 4 -7 1 -10 0 -12 -2 -14 -2 -17 -2 -19 -2 -20 0 -20 1 -21 2 -21 3 -20 5,2,0
204648535,7E:8A:AE:D6:C8:CD,39088,-29.4,-59,-58,0 0 13 4 13 2 10 3 8 4 7 5 5 7 5 8 5 10 6 11 8 13 9 13 10 13 11 12 12 11 13 9 12 7 11 6 9 6 8 5 6 6 4 6 2 7 1 9 0 9 0 10 -1 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -4 9 -3 11 -2 13 -1 15 0 16 0 17 0 18 0 19 0 18 -1 17 -1 15 -2 14 -1 12 -1 10 1 10 2 9 4 9 6 10 7 12 9 13 10 15 10 16 10 17 9 18 8 18 6,0 0 7 -14 3 -10 5 -7 6 -5 7 -2 11 1 12 3 14 4 17 4 18 2 19 1 20 0 19 -1 19 -2 16 -3 14 -3 12 -2 9 -1 7 1 4 3 2 6 1 8 0 10 0 12 -1 13 -1 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -5 -8 -7 -9 -9 -10 -12 -11 -13 -12 -14 -13 -14 -14 -14 -14 -14 -13 -12 -12 -11 -10 -10 -7 -9 -5 -7 -2 -7 1 -8 4 -8 6 -10 8 -12 10 -15 10 -16 10 -18 9 -19 8 -20 7 -21 5 -20,2,0
204685047,7E:8A:AE:D6:C8:CD,39088,18.24,-59,-58,0 0 -14 3 -14 2 -12 1 -10 -1 -9 -3 -9 -5 -9 -6 -10 -8 -11 -8 -13 -8 -15 -8 -16 -8 -16 -6 -17 -5 -15 -3 -15 -2 -13 -1 -12 -1 -11 -2 -9 -3 -8 -4 -6 -6 -6 -8 -6 -9 -6 -10 -6 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 6 -9 5 -11 4 -13 4 -15 4 -17 5 -18 5 -18 6 -18 7 -17 7 -16 6 -14 6 -13 5 -12 4 -11 3 -11 0 -11 -1 -12 -3 -13 -4 -15 -5 -17 -4 -18 -4 -18 -2 -19 -2 -20 0 -19 1,0 0 13 5 9 3 6 4 4 5 1 7 -1 10 -2 12 -2 14 -3 16 -1 18 0 19 1 19 2 18 3 17 4 15 4 13 3 11 1 9 -1 6 -4 5 -6 3 -8 2 -11 2 -13 1 -14 1 -15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -7 6 -8 8 -8 10 -10 11 -11 12 -12 12 -13 12 -14 12 -14 10 -13 9 -11 8 -9 7 -7 6 -5 6 -2 7 1 8 3 9 5 11 7 14 8 16 8 17 8 18 8 19 6 19 6 18 4,2,0
204728070,7E:8A:AE:D6:C8:CD,39088,90.0,-59,-58,0 0 -8 13 -7 12 -7 9 -7 7 -7 5 -9 3 -10 2 -12 2 -14 3 -15 4 -16 6 -16 7 -15 8 -15 10 -13 10 -11 10 -10 9 -9 8 -8 6 -9 5 -8 2 -9 0 -9 -1 -10 -2 -12 -3 -12 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -2 10 -3 11 -5 13 -6 14 -7 15 -8 17 -8 18 -7 18 -6 17 -5 16 -5 15 -4 14 -4 11 -5 10 -7 8 -8 7 -10 7 -11 7 -13 8 -15 9 -15 11 -14 12 -14 14 -13 15 -11 15,0 0 -6 -15 -4 -11 -1 -9 1 -7 5 -7 8 -7 10 -7 13 -9 15 -10 15 -12 15 -13 14 -14 13 -15 12 -16 9 -14 8 -12 6 -11 6 -8 6 -5 6 -1 6 1 7 4 8 7 9 8 10 9 11 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -11 -1 -13 -2 -15 -3 -17 -3 -18 -3 -19 -2 -20 -1 -20 -1 -17 0 -16 -1 -14 -1 -11 -2 -9 -3 -6 -5 -4 -7 -3 -10 -3 -12 -2 -15 -3 -18 -4 -20 -6 -21 -7 -20 -8 -20 -9 -20 -10 -18,2,0
204768810,7E:8A:AE:D6:C8:CD,39088,16.89,-60,-58,0 0 -2 -17 -1 -15 0 -13 1 -11 3 -9 5 -9 7 -8 8 -9 10 -11 10 -12 10 -14 10 -16 8 -16 7 -17 5 -16 3 -15 3 -15 3 -13 3 -11 4 -9 5 -7 6 -6 8 -5 9 -4 11 -4 12 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -8 -6 -10 -5 -12 -4 -14 -4 -16 -4 -18 -5 -19 -5 -20 -6 -20 -6 -19 -6 -18 -6 -16 -5 -15 -4 -13 -2 -12 0 -12 1 -11 4 -13 5 -13 6 -15 6 -17 5 -19 5 -20 4 -20 2 -21 0 -19,0 0 -5 14 -5 10 -6 7 -6 4 -8 2 -12 -1 -13 -3 -16 -3 -19 -3 -20 -2 -21 -1 -21 1 -20 2 -20 3 -17 3 -15 4 -13 3 -10 1 -8 -1 -6 -4 -4 -6 -3 -9 -3 -12 -2 -13 -2 -15 -3 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 7 7 8 9 9 11 10 12 11 13 12 14 13 14 14 14 12 12 11 10 9 9 7 8 4 7 1 6 -2 7 -5 8 -7 10 -9 11 -10 14 -11 17 -11 18 -9 19 -8 19 -7 21 -5 19,2,0
204810740,7E:8A:AE:D6:C8:CD,39088,-35.86,-60,-58,0 0 -2 -17 -1 -14 0 -12 1 -10 3 -9 5 -9 6 -8 8 -9 10 -10 10 -12 9 -14 9 -16 8 -16 7 -17 5 -16 3 -15 3 -14 2 -12 3 -10 4 -9 5 -7 6 -5 8 -5 9 -4 10 -4 12 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -8 -6 -9 -5 -12 -5 -14 -4 -16 -5 -17 -5 -19 -5 -20 -6 -20 -7 -18 -7 -17 -7 -16 -6 -14 -5 -12 -3 -12 -1 -11 1 -11 3 -12 4 -13 5 -15 6 -17 5 -18 3 -19 2 -20 1 -20 -1 -19,0 0 -14 3 -11 3 -9 0 -7 -2 -6 -6 -6 -9 -6 -12 -7 -14 -8 -16 -10 -16 -12 -17 -13 -16 -13 -14 -14 -13 -13 -11 -11 -10 -9 -8 -7 -7 -4 -7 -1 -7 2 -7 5 -7 7 -8 8 -9 10 -9 11 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -1 9 -2 11 -3 13 -4 15 -4 16 -3 18 -3 18 -3 18 -2 16 -2 14 -2 13 -2 10 -3 7 -5 5 -7 3 -9 2 -12 0 -14 0 -17 1 -19 2 -20 3 -20 4 -20 5 -20 6 -18 8,2,0
204852582,7E:8A:AE:D6:C8:CD,39088,90.0,-60,-58,0 0 5 12 7 11 5 9 3 9 0 8 -2 9 -3 9 -4 10 -4 12 -4 14 -3 16 -2 16 0 16 1 16 2 15 3 14 2 12 2 11 1 10 -1 9 -2 7 -4 7 -6 7 -7 7 -8 7 -9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 3 8 5 8 8 8 9 9 11 10 12 11 14 12 14 12 14 12 12 12 11 11 10 10 9 8 8 6 8 4 9 2 10 1 11 1 12 1 15 1 16 2 17 3 18 5 18 6 17 7 17,0 0 -11 -10 -9 -7 -6 -7 -2 -7 1 -8 4 -10 5 -11 7 -14 7 -16 7 -18 6 -19 5 -19 3 -19 2 -19 1 -17 1 -15 1 -12 1 -10 2 -7 4 -5 6 -2 8 0 10 1 12 2 13 2 14 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 4 -9 4 -11 4 -14 5 -15 5 -16 6 -17 7 -18 7 -17 8 -15 7 -14 6 -12 5 -10 3 -8 1 -7 -1 -7 -4 -7 -7 -8 -10 -9 -12 -11 -14 -13 -15 -15 -15 -15 -14 -16 -14 -17 -13 -17 -11,2,0
204889044,7E:8A:AE:D6:C8:CD,39088,-19.03,-60,-58,0 0 12 -5 12 -4 10 -3 9 0 8 1 8 3 8 4 8 5 10 6 12 6 14 6 14 5 15 3 15 2 14 1 13 0 12 -1 11 -1 9 0 8 1 6 2 6 4 5 6 5 7 5 8 6 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -7 7 -6 10 -5 11 -5 13 -5 15 -5 16 -6 16 -6 16 -7 15 -7 14 -7 13 -7 12 -6 10 -5 9 -3 10 -2 9 0 11 1 11 2 13 3 15 3 16 2 17 1 17 0 17 -1 16 -2,0 0 6 -14 4 -11 5 -7 6 -5 7 -1 10 1 12 2 15 3 17 3 19 2 20 1 20 0 19 -2 18 -3 16 -4 14 -3 12 -3 9 -2 7 0 5 3 3 6 2 8 1 11 1 12 1 14 1 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -5 -7 -8 -8 -11 -9 -13 -10 -14 -11 -15 -12 -16 -13 -16 -12 -15 -12 -14 -11 -12 -9 -11 -7 -10 -4 -8 -1 -7 2 -8 4 -9 7 -10 8 -11 11 -15 11 -16 11 -18 10 -19 9 -20 8 -21 6 -20,2,0
204926003,7E:8A:AE:D6:C8:CD,39088,19.4,-60,-58,0 0 4 -15 4 -14 4 -11 5 -9 6 -7 7 -6 9 -5 10 -5 12 -6 13 -8 14 -10 13 -11 12 -12 12 -13 9 -13 8 -12 7 -12 6 -11 6 -9 6 -7 7 -5 7 -3 8 -2 9 -1 11 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -10 -1 -11 1 -12 2 -14 3 -15 4 -17 4 -18 3 -20 3 -20 2 -19 1 -18 1 -17 1 -15 1 -13 2 -11 4 -10 5 -9 8 -9 9 -10 11 -11 11 -13 12 -14 11 -15 10 -17 9 -17 7 -17,0 0 -12 9 -8 6 -8 3 -8 1 -8 -3 -10 -5 -10 -8 -13 -9 -15 -10 -16 -10 -18 -9 -18 -8 -18 -7 -19 -5 -16 -4 -14 -3 -13 -3 -10 -3 -7 -4 -4 -5 -1 -7 1 -9 2 -11 3 -12 4 -14 4 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 2 9 2 11 2 14 3 15 3 16 4 18 4 18 4 17 4 15 4 14 3 12 1 10 0 8 -2 6 -5 5 -8 5 -10 5 -13 6 -15 8 -17 9 -17 11 -17 12 -16 13 -16 14 -14 14,2,0
205004673,7E:8A:AE:D6:C8:CD,0,17.84,-60,-59,0 0 1 15 0 13 -1 11 -2 8 -4 7 -6 8 -7 7 -8 8 -10 10 -10 12 -10 13 -8 14 -7 15 -5 16 -4 15 -2 14 -2 13 -2 11 -3 9 -4 8 -5 6 -7 5 -8 5 -9 4 -11 5 -12 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 9 5 11 4 13 3 15 3 16 3 18 3 19 3 19 4 19 4 17 4 17 3 15 3 14 2 12 0 11 -2 10 -3 10 -5 11 -6 12 -7 15 -7 16 -6 17 -5 18 -3 18 -2 19 0 17,0 0 -13 7 -8 4 -7 0 -6 -2 -6 -6 -7 -10 -7 -11 -8 -13 -10 -15 -12 -15 -13 -15 -14 -14 -14 -12 -15 -11 -13 -9 -11 -7 -9 -6 -7 -5 -3 -4 0 -5 3 -5 5 -5 7 -6 9 -7 10 -8 11 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 5 7 6 9 6 12 7 13 8 15 8 16 9 16 8 16 8 14 7 13 5 11 3 9 1 7 -2 6 -5 6 -8 5 -11 5 -14 6 -17 8 -18 9 -19 11 -18 11 -18 12 -17 13 -15 13,2,0
