timestamp,mac,seq_ctrl,aoa,IQ_master,IQ_worker
21918950,7E:8A:AE:D6:C8:CD,0,22.46,0 0 11 -8 12 -10 12 -9 12 -10 11 -10 12 -11 10 -11 10 -11 9 -11 8 -10 8 -10 8 -9 8 -8 9 -8 9 -8 10 -7 11 -8 11 -8 12 -8 12 -9 12 -9 10 -9 10 -9 8 -8 8 -7 7 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -10 6 -11 6 -12 6 -12 6 -11 6 -11 6 -11 7 -10 7 -9 7 -8 8 -8 9 -8 10 -8 10 -8 10 -8 11 -9 11 -10 10 -11 10 -11 9 -11 9 -12 8 -11 8 -10 8 -10 9 -9 9 -9,0 0 12 10 13 13 14 12 15 11 15 9 14 8 13 6 12 5 9 4 7 4 5 5 3 6 1 7 0 10 0 11 0 13 0 14 2 16 2 16 3 16 4 14 4 13 4 11 4 9 2 7 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -14 5 -13 5 -12 4 -11 5 -10 5 -8 5 -6 7 -4 8 -3 9 0 12 0 13 1 15 2 15 0 16 -1 17 -1 15 -3 14 -3 13 -4 12 -4 11 -4 9 -1 7 1 8 3 8 5 8 7
21969083,7E:8A:AE:D6:C8:CD,33024,42.09,0 0 -7 -13 -4 -15 -5 -15 -6 -15 -6 -15 -7 -15 -7 -14 -8 -13 -8 -12 -8 -11 -7 -11 -6 -11 -6 -10 -5 -12 -4 -12 -4 -12 -5 -13 -4 -14 -5 -14 -5 -15 -5 -15 -5 -13 -6 -13 -5 -11 -5 -10 -4 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -9 -8 -9 -9 -10 -9 -10 -9 -10 -8 -9 -8 -10 -7 -10 -6 -10 -5 -10 -4 -11 -4 -12 -4 -12 -4 -13 -4 -13 -5 -14 -6 -14 -6 -13 -7 -13 -8 -13 -8 -13 -7 -12 -7 -11 -7 -11 -6 -11 -6 -11,0 0 15 5 16 7 17 7 17 5 16 4 18 3 15 1 13 0 10 0 8 1 7 1 5 4 4 6 3 9 3 11 4 13 5 14 6 15 7 15 8 15 8 14 8 12 7 10 6 8 4 6 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -15 -1 -14 -1 -14 -1 -13 0 -11 1 -9 3 -8 5 -6 7 -5 10 -4 11 -4 14 -3 15 -5 15 -6 15 -7 16 -8 13 -9 13 -9 10 -9 10 -9 9 -7 8 -4 6 -3 8 0 9 2 10 4
22235501,7E:8A:AE:D6:C8:CD,0,12.08,0 0 10 10 8 12 9 13 10 12 10 11 12 11 10 10 11 8 10 7 10 6 9 6 8 6 7 6 6 7 5 8 6 9 6 11 6 12 7 12 8 12 8 12 8 11 8 10 7 8 7 8 5 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 3 12 4 12 3 12 4 11 3 11 3 10 4 10 5 9 5 8 6 8 7 8 8 8 9 9 9 9 10 11 10 11 9 12 9 12 8 11 7 11 7 11 6 10 6 9 6 8 7 8 7,0 0 0 15 -2 18 1 18 1 17 2 16 3 15 3 13 2 10 2 10 1 8 -1 7 -3 7 -5 8 -7 8 -8 9 -9 11 -9 12 -9 13 -7 13 -7 14 -6 13 -5 11 -3 9 -4 7 -3 5 -4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 2 12 2 11 2 10 2 9 2 8 3 6 4 6 5 4 8 3 7 3 10 4 12 5 13 6 13 7 13 9 13 9 12 9 11 8 9 7 9 6 7 4 8 2 7 1 10 0 10 -1 12
22287932,7E:8A:AE:D6:C8:CD,33056,5.73,0 0 -9 10 -11 10 -11 11 -11 11 -10 12 -10 13 -8 12 -7 12 -6 11 -5 10 -5 9 -6 8 -6 7 -7 7 -8 6 -9 6 -11 7 -11 8 -12 8 -12 9 -11 9 -10 9 -10 9 -8 8 -7 7 -7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 12 -1 12 -1 13 -1 12 -1 12 -1 11 -2 11 -3 10 -4 10 -5 9 -6 9 -7 9 -8 10 -8 10 -8 11 -8 12 -7 13 -7 13 -6 13 -5 13 -5 12 -5 11 -5 10 -5 9 -6 9 -7 8,0 0 17 -2 19 -2 20 -3 19 -4 18 -5 16 -6 13 -6 11 -5 10 -4 9 -3 9 0 8 1 8 4 10 6 11 6 13 7 15 8 15 7 16 6 16 5 15 4 13 3 11 3 8 2 6 2 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -1 -13 -1 -12 -1 -11 0 -11 1 -9 2 -9 4 -8 5 -7 7 -7 10 -7 11 -8 12 -9 12 -10 12 -11 11 -13 10 -13 10 -13 8 -12 8 -11 7 -9 7 -7 8 -5 10 -3 11 -2 14 -1
22732864,7E:8A:AE:D6:C8:CD,29264,-1.41,0 0 9 -4 11 -4 12 -5 14 -5 14 -6 14 -8 12 -8 12 -9 10 -10 9 -10 8 -9 7 -8 6 -6 6 -4 6 -3 7 -2 8 0 9 1 11 1 12 2 12 2 12 1 13 0 11 0 10 0 10 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -15 -7 -15 -6 -16 -7 -15 -7 -15 -5 -13 -4 -13 -3 -12 -1 -11 2 -10 3 -10 5 -10 7 -11 8 -11 9 -13 9 -14 8 -14 7 -16 6 -15 5 -16 5 -16 4 -14 4 -11 4 -8 5 -7 7 -6,0 0 13 -1 17 -2 17 -2 16 -3 15 -4 14 -6 11 -5 9 -5 6 -5 4 -4 3 -2 2 2 1 4 1 8 0 9 1 12 1 15 3 17 4 16 5 16 4 15 5 13 6 11 5 9 4 6 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 6 -16 6 -14 4 -14 2 -11 -1 -8 -3 -6 -7 -4 -8 -2 -11 0 -14 1 -16 0 -18 2 -20 1 -19 -1 -19 -1 -19 -2 -17 -2 -14 -2 -13 -1 -10 -1 -7 0 -4 2 -2 3 -2 8 2 10 1
22837738,7E:8A:AE:D6:C8:CD,33088,-23.48,0 0 -8 -7 -11 -10 -12 -10 -12 -10 -13 -9 -14 -9 -13 -7 -13 -5 -13 -4 -12 -3 -10 -3 -8 -3 -7 -3 -6 -4 -5 -5 -5 -7 -5 -9 -5 -9 -6 -10 -7 -11 -7 -11 -8 -10 -8 -10 -8 -8 -7 -7 -7 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 9 -14 9 -14 9 -14 9 -13 8 -12 6 -12 5 -12 3 -11 1 -11 -1 -12 -3 -13 -4 -14 -5 -14 -5 -16 -5 -17 -4 -18 -3 -17 -2 -16 -1 -16 -1 -15 1 -12 -1 -11 -1 -9 -2 -8 -3 -7 -6,0 0 -15 1 -18 2 -16 4 -15 5 -13 7 -12 7 -9 6 -7 6 -6 4 -3 2 -3 0 -4 -2 -4 -5 -5 -7 -6 -9 -7 -9 -9 -10 -11 -10 -12 -9 -12 -8 -11 -6 -10 -4 -9 -3 -7 -2 -4 -1 -2 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 5 15 4 14 6 12 5 10 6 7 7 3 8 1 10 -2 12 -4 14 -5 14 -6 17 -7 17 -6 18 -5 18 -5 17 -3 16 -2 14 -1 11 -2 9 -3 7 -5 5 -6 2 -9 2 -11 0 -13 -1
22893730,7E:8A:AE:D6:C8:CD,33104,31.78,0 0 -3 -13 -4 -14 -5 -15 -6 -15 -7 -15 -8 -14 -8 -12 -8 -11 -8 -9 -8 -7 -7 -7 -5 -6 -4 -6 -3 -6 -2 -7 -1 -8 -1 -9 -1 -11 -2 -11 -2 -12 -3 -12 -3 -12 -4 -11 -5 -10 -4 -8 -4 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -1 -17 -1 -17 -1 -17 -2 -16 -2 -15 -3 -14 -4 -13 -6 -11 -7 -10 -8 -10 -10 -9 -12 -10 -13 -10 -13 -12 -13 -12 -13 -13 -13 -13 -11 -13 -10 -13 -9 -12 -8 -10 -7 -9 -7 -7 -8 -6 -9 -4 -10,0 0 16 2 18 0 18 -2 17 -3 15 -4 13 -5 11 -5 8 -4 6 -2 3 -1 3 1 3 4 3 6 3 8 4 9 5 11 7 11 9 11 9 10 10 8 9 6 8 4 7 3 4 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -13 -10 -12 -9 -12 -8 -12 -6 -12 -3 -11 0 -10 3 -12 6 -11 7 -11 10 -13 12 -14 12 -15 10 -15 10 -16 9 -17 7 -16 7 -14 5 -12 5 -11 5 -8 7 -5 7 -1 8 -1 12 1 14 1
22948164,7E:8A:AE:D6:C8:CD,33120,11.81,0 0 -8 10 -9 11 -9 11 -9 12 -7 13 -7 14 -5 13 -3 12 -3 11 -2 10 -2 8 -2 7 -2 6 -4 5 -4 5 -6 5 -7 6 -8 7 -7 8 -8 9 -7 9 -6 9 -5 9 -4 8 -3 7 -3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 14 7 15 6 15 6 15 6 15 4 14 3 14 1 13 -1 13 -2 12 -4 13 -5 13 -7 14 -6 15 -5 16 -6 17 -4 17 -3 16 -2 15 -2 15 -1 15 -1 13 -2 11 -3 9 -5 9 -6 9,0 0 11 -13 13 -14 11 -14 10 -14 7 -13 6 -14 4 -11 3 -9 2 -7 3 -4 4 -2 5 0 6 2 9 2 10 2 12 1 13 0 13 -1 13 -3 12 -3 10 -5 9 -4 7 -4 4 -4 2 -3 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -5 -14 -5 -14 -5 -12 -6 -11 -6 -9 -7 -6 -8 -4 -10 -2 -12 -1 -13 0 -15 0 -16 -1 -19 -1 -18 -2 -18 -3 -18 -4 -17 -4 -16 -4 -12 -3 -11 -1 -10 2 -9 4 -8 5 -7 9 -8 10 -9
23003316,7E:8A:AE:D6:C8:CD,33136,16.75,0 0 11 8 11 7 12 7 14 6 13 5 14 4 13 3 13 2 12 1 10 0 9 0 8 0 6 1 6 2 6 3 6 4 6 6 7 6 9 7 9 7 10 6 10 5 9 5 9 3 8 3 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -9 15 -8 16 -8 15 -8 15 -7 14 -6 13 -5 13 -3 13 -2 12 1 13 2 14 3 14 4 15 4 16 4 17 3 16 2 17 1 15 0 16 -1 14 -1 13 -1 11 0 10 1 10 3 10 3,0 0 -2 16 -2 18 0 18 1 17 2 15 3 14 3 11 2 8 1 6 0 4 -3 4 -5 2 -7 3 -9 3 -11 4 -11 6 -12 7 -11 8 -11 9 -10 10 -8 9 -6 8 -4 7 -2 5 -2 3 -1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -9 12 -7 12 -6 11 -5 11 -3 10 -1 9 1 9 4 9 6 9 8 10 10 11 11 12 12 12 11 13 10 14 9 13 8 12 7 10 6 9 5 7 5 3 6 1 8 -1 8 -2 11 -3 14
23029826,7E:8A:AE:D6:C8:CD,33136,17.58,0 0 3 -11 3 -14 3 -15 3 -16 1 -16 0 -16 -1 -15 -2 -13 -3 -12 -3 -11 -2 -10 -2 -9 0 -8 0 -7 2 -8 2 -8 3 -9 4 -10 4 -11 4 -12 3 -12 2 -12 2 -12 1 -10 0 -9 1 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -12 -13 -12 -13 -13 -13 -11 -12 -12 -11 -12 -10 -12 -8 -12 -6 -12 -4 -12 -1 -13 -2 -15 -2 -16 -1 -16 -2 -16 -3 -18 -4 -17 -4 -17 -5 -15 -6 -15 -6 -14 -5 -13 -3 -12 -2 -11 0 -11 2 -11,0 0 -14 11 -14 13 -12 13 -11 14 -9 13 -8 13 -5 10 -5 8 -4 6 -3 4 -5 1 -6 -1 -8 -4 -9 -4 -12 -4 -12 -3 -15 -3 -16 -3 -15 -1 -13 0 -13 1 -11 2 -9 3 -6 2 -4 1 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 1 14 1 13 2 11 2 11 4 8 5 6 7 5 9 2 11 1 13 0 13 1 16 2 18 2 17 4 17 5 17 4 15 5 13 4 12 2 10 1 9 -2 8 -4 6 -7 6 -10 8 -12 8
