timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
25704559,7E:8A:AE:D6:C8:CD,5392,34.26,-77,-74,0 0 6 13 9 15 11 16 11 15 12 13 12 12 11 9 10 6 9 7 5 8 1 8 -2 10 -4 9 -5 10 -4 12 -6 16 -6 17 -6 18 -5 19 -4 18 -3 17 -3 15 -3 14 -2 11 -4 8 -6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -6 12 -5 9 -4 8 -4 8 -2 8 1 7 3 6 5 6 4 6 6 8 7 10 8 12 8 12 7 12 7 13 6 13 4 10 3 10 3 7 2 6 3 2 4 2 5 2 8 0 10 2 11,0 0 -18 2 -20 3 -20 4 -18 7 -17 7 -16 8 -12 7 -10 5 -7 4 -6 2 -6 -1 -6 -3 -6 -5 -8 -8 -8 -10 -10 -10 -12 -12 -15 -11 -15 -10 -15 -10 -15 -9 -13 -8 -13 -6 -10 -6 -8 -6 -5 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 10 3 10 3 8 3 6 4 6 4 4 6 2 8 -2 9 -4 9 -5 10 -7 12 -7 14 -6 14 -7 15 -6 14 -4 13 -3 11 -2 9 -3 9 -4 7 -7 4 -8 2 -10 1 -14 0 -17 1
25761411,7E:8A:AE:D6:C8:CD,5408,13.25,-80,-74,0 0 14 11 14 9 17 9 19 8 18 8 16 5 12 2 10 3 7 4 4 6 -2 6 -5 7 -5 9 -5 12 -5 15 -4 18 -6 21 -5 22 -5 21 -3 19 -3 17 -4 15 -4 13 -4 9 -6 6 -8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -15 4 -12 4 -11 4 -8 5 -8 5 -5 7 -3 7 1 9 0 9 1 12 1 15 0 15 0 14 -1 13 -3 12 -3 11 -4 9 -3 7 -1 5 0 2 3 2 3 1 5 2 8 8 9 7 9,0 0 -3 18 -2 20 0 19 1 18 3 16 3 15 3 12 2 9 2 6 0 5 -2 3 -5 3 -9 3 -10 3 -12 4 -14 5 -14 7 -15 8 -15 9 -14 9 -13 9 -11 9 -11 8 -9 6 -9 4 -7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -11 1 -11 2 -11 2 -11 1 -9 3 -7 5 -5 7 -2 9 2 9 3 10 5 12 6 14 7 14 7 14 7 14 6 13 5 12 3 10 2 8 3 5 4 3 5 -1 7 -2 9 -3 12 -3 15
25844411,7E:8A:AE:D6:C8:CD,5424,-73.85,-79,-74,0 0 12 10 14 6 15 5 19 5 17 4 14 4 12 1 11 0 8 2 4 3 0 4 -4 4 -5 6 -6 9 -5 12 -6 16 -7 18 -7 17 -6 19 -5 18 -4 17 -3 15 -4 11 -4 8 -5 5 -6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -14 -3 -14 -2 -12 -2 -11 2 -10 3 -8 4 -6 5 -5 8 -4 8 -4 11 -4 12 -4 14 -4 13 -5 12 -5 11 -8 10 -7 9 -6 8 -3 4 -2 2 0 2 2 2 4 4 7 5 7 9 8,0 0 -10 -18 -12 -21 -12 -20 -13 -18 -13 -15 -14 -12 -11 -11 -9 -8 -7 -6 -4 -4 -1 -5 3 -5 6 -5 10 -6 10 -8 11 -9 13 -12 13 -13 13 -14 12 -16 11 -14 10 -12 7 -12 9 -11 7 -7 7 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 5 10 4 9 5 8 4 7 5 4 5 2 5 -2 5 -6 5 -9 4 -12 5 -13 6 -15 9 -16 8 -17 8 -17 8 -14 8 -11 8 -9 7 -8 6 -8 3 -6 -1 -5 -5 -4 -9 -5 -12 -7 -16
25879274,7E:8A:AE:D6:C8:CD,5440,13.99,-79,-74,0 0 8 -11 6 -16 6 -17 5 -19 3 -17 1 -16 -1 -14 -1 -12 0 -11 3 -5 4 -2 4 1 7 2 9 1 13 1 16 1 19 0 20 1 21 -1 19 -4 17 -4 15 -4 13 -2 10 0 7 2 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -3 -15 -4 -14 -6 -12 -5 -10 -7 -8 -9 -5 -9 -3 -9 -3 -11 -1 -11 -2 -15 0 -17 0 -16 -1 -15 -1 -15 -4 -13 -4 -12 -3 -12 -2 -9 1 -6 3 -6 5 -3 5 -2 6 -2 10 -4 12 -8,0 0 20 0 20 1 19 0 18 -1 16 -3 16 -5 13 -4 10 -4 7 -3 5 -3 4 0 2 3 0 6 0 10 0 11 1 12 3 14 4 16 5 17 5 16 5 15 5 13 5 12 4 10 2 9 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 4 -10 4 -10 4 -9 3 -8 2 -6 1 -6 -2 -4 -4 -1 -7 0 -9 1 -10 1 -13 2 -16 1 -17 1 -17 1 -16 -1 -14 -2 -14 -2 -11 -1 -10 1 -8 3 -5 5 -2 8 0 11 0 14 1
29416999,7E:8A:AE:D6:C8:CD,31568,24.98,-79,-73,0 0 -9 -3 -11 -6 -15 -7 -15 -8 -19 -5 -20 -3 -21 -1 -21 -1 -18 -2 -12 0 -10 2 -7 2 -4 3 -1 0 2 -5 7 -9 12 -10 14 -13 15 -14 14 -13 13 -14 12 -15 10 -15 9 -13 9 -9 7 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 5 -9 3 -9 2 -8 0 -9 -3 -9 -7 -5 -9 -3 -11 -2 -11 -3 -10 -2 -9 -3 -7 -1 -8 -2 -5 1 -3 3 1 4 2 6 6 7 4 8 6 10 7 10 5 11 4 13 4 7 4 2 2,0 0 19 -5 20 -5 19 -5 17 -7 16 -8 16 -8 13 -7 10 -5 8 -3 6 0 5 2 4 5 4 8 4 10 5 12 5 12 6 13 7 12 7 11 8 10 8 9 7 7 6 6 4 4 2 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 1 -11 1 -10 2 -9 2 -7 0 -6 1 -5 -1 -3 -4 -1 -7 1 -9 1 -11 2 -13 0 -16 0 -17 -1 -18 -1 -18 -2 -16 -2 -16 -3 -13 -1 -11 0 -9 1 -6 3 -5 6 -3 10 -5 14 -5
29518820,7E:8A:AE:D6:C8:CD,5728,90.00,-82,-74,0 0 -15 1 -13 -1 -12 1 -14 1 -11 0 -13 3 -13 4 -16 2 -15 0 -17 1 -13 3 -10 3 -11 5 -13 8 -14 9 -14 10 -15 8 -15 6 -14 4 -13 5 -13 8 -11 10 -11 8 -12 8 -12 10 -14 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 6 -19 2 -16 4 -15 4 -15 6 -15 7 -16 6 -15 3 -14 4 -11 5 -11 5 -10 5 -10 6 -9 5 -10 5 -10 5 -10 5 -11 2 -7 2 -8 3 -8 4 -10 3 -10 5 -8 6 -14 7 -15 4,0 0 16 -8 16 -9 14 -7 14 -7 13 -7 14 -8 14 -8 16 -6 14 -6 13 -6 13 -7 12 -7 11 -6 11 -7 12 -6 11 -5 10 -5 10 -5 9 -6 10 -5 8 -5 9 -5 8 -5 8 -5 8 -3 9 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -6 5 -5 6 -5 7 -5 8 -5 7 -6 9 -6 9 -6 10 -6 10 -6 10 -6 10 -7 11 -7 12 -7 12 -6 12 -7 11 -7 12 -6 10 -7 12 -7 13 -7 12 -8 12 -8 11 -9 13 -10 14 -11
29720223,7E:8A:AE:D6:C8:CD,5744,13.77,-79,-73,0 0 -3 -6 -2 -10 -2 -14 -5 -15 -7 -16 -11 -18 -11 -19 -13 -17 -12 -17 -10 -13 -10 -7 -9 -5 -8 -2 -5 -2 3 0 9 0 14 2 16 4 17 3 15 2 19 -1 21 -2 19 0 16 -2 11 0 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -10 -6 -8 -5 -7 -2 -7 -1 -7 4 -11 7 -9 8 -8 10 -6 7 -4 9 -2 7 -7 4 -4 5 -3 3 1 2 4 0 8 -3 9 -2 10 0 13 -2 15 -1 12 1 12 0 14 -1 11 -5 6,0 0 19 4 21 5 20 3 19 2 18 -1 18 0 15 0 12 2 8 2 4 3 3 5 2 7 1 10 -1 12 0 14 -1 15 1 16 1 16 2 14 3 13 2 12 2 10 1 8 0 6 -1 3 -3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -4 -11 -4 -10 -3 -9 -3 -7 -1 -7 -2 -3 -3 0 -5 3 -7 5 -7 6 -11 8 -10 8 -13 7 -16 7 -16 7 -17 5 -15 4 -14 2 -12 2 -10 2 -7 3 -5 5 -2 6 0 12 0 14 1
29750241,7E:8A:AE:D6:C8:CD,5744,-49.87,-82,-74,0 0 -7 -9 -9 -13 -8 -10 -7 -8 -10 -6 -13 -7 -15 -11 -13 -9 -10 -12 -12 -7 -11 -7 -9 -4 -12 -3 -15 -2 -16 -2 -15 -5 -15 -3 -13 -5 -14 -3 -13 -2 -14 -2 -12 3 -17 -1 -15 -1 -16 -2 -15 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -13 -6 -12 -4 -10 -6 -10 -10 -11 -10 -11 -9 -11 -6 -11 -8 -11 -5 -10 -4 -8 -4 -6 -7 -8 -8 -8 -5 -10 -10 -10 -7 -9 -6 -11 -4 -8 -7 -7 -9 -8 -8 -7 -9 -7 -15 -7 -11 -11 -8 -12,0 0 4 16 1 17 2 16 2 14 3 14 3 16 3 16 2 16 1 16 1 15 2 13 4 13 3 13 3 14 2 12 4 13 3 12 3 12 3 10 2 11 3 10 3 10 2 10 2 9 2 9 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 7 -1 9 -1 9 -2 8 0 8 1 10 -1 11 0 12 -2 11 -2 12 0 11 -1 12 0 12 -1 13 -1 14 -1 13 0 12 0 13 1 14 0 14 2 13 2 13 3 15 5 15 4 17
30005305,7E:8A:AE:D6:C8:CD,5776,-4.14,-79,-74,0 0 -6 5 -11 3 -16 4 -17 6 -15 8 -19 12 -18 14 -18 14 -16 12 -11 11 -7 9 -4 9 -3 7 -2 4 -2 -1 -1 -7 -1 -12 1 -15 0 -17 -1 -19 -1 -20 -1 -21 -1 -22 0 -18 1 -15 2 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 7 -5 5 -5 2 -5 2 -7 1 -7 -1 -9 -2 -8 -7 -6 -8 -4 -6 -3 -5 -2 -3 -2 -3 1 -2 3 -1 6 -1 8 0 11 0 12 1 13 -1 14 -1 13 -3 13 -3 12 -1 9 -1 5 2,0 0 -17 -12 -18 -12 -17 -12 -18 -10 -17 -8 -18 -8 -14 -7 -11 -5 -8 -6 -5 -5 -2 -5 0 -7 3 -8 5 -10 7 -12 7 -12 8 -15 8 -14 7 -14 6 -13 5 -12 4 -10 3 -9 3 -6 3 -3 3 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 2 10 2 9 2 7 1 6 0 5 -1 3 0 0 2 -4 4 -6 5 -8 7 -9 9 -10 11 -10 13 -10 14 -10 14 -7 14 -7 12 -6 11 -5 9 -5 6 -4 3 -5 1 -7 -2 -10 -4 -14 -7
30095699,7E:8A:AE:D6:C8:CD,5792,43.04,-82,-75,0 0 -3 -19 -2 -17 -2 -15 -3 -14 -6 -14 -8 -13 -8 -14 -8 -17 -6 -16 -5 -14 -8 -9 -8 -11 -12 -7 -13 -9 -14 -9 -15 -13 -13 -11 -12 -13 -11 -11 -10 -10 -12 -9 -13 -10 -15 -10 -13 -9 -13 -10 -11 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -8 -6 -7 -4 -7 -3 -8 -5 -7 -7 -7 -5 -10 -4 -10 -2 -10 -1 -7 0 -9 -1 -8 -1 -9 -3 -7 -3 -11 -3 -13 -2 -13 -1 -11 0 -11 -3 -10 -1 -12 -3 -12 -4 -13 -7 -16 -4 -17 -4 -17,0 0 18 0 17 2 15 1 15 0 15 -1 17 -1 15 1 16 0 15 2 13 0 14 -1 14 -2 14 -2 15 -1 14 0 13 -1 13 0 12 -1 11 1 11 1 11 0 10 0 10 0 11 0 10 1 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 1 8 0 7 2 7 1 8 0 9 -1 11 0 12 1 12 1 12 2 12 2 13 1 14 1 14 2 14 2 14 3 13 2 13 1 15 1 14 1 14 1 15 -1 14 -1 16 -1 17 -1
